"name","org","remote","attend"
"Ryan Grant","Queen's University","1","1"
"Anthony Skjellum","Tennessee Technological University","1","1"
"Maria Garzaran","Intel Corporation","1","1"
"Nathan Hanford","Lawrence Livermore National Laboratory","1","1"
"Ali Farazdaghi","Queen's University","1","1"
"Guillaume Mercier","INRIA","1","1"
"Anton Daumen","Eviden","1","1"
"William Gropp","University of Illinois Urbana-Champaign","1","1"
"Tobias Haas","HLRS, University of Stuttgart","1","1"
"Benson Muite","Kichakato Kizito","1","1"
"Michael Knobloch","Forschungszentrum Julich","1","1"
"Bill Williams","CIDS, ZIH, TUD Dresden University of Technology","1","1"
"Matthew Dosanjh","Sandia National Laboratory","1","1"
"Sonja Happ","ParTec","1","1"
"Claudia Blaas-Schenner","ASC Research Center, TU Wien","1","1"
"Ken Raffenetti","Argonne National Laboratory","1","1"
"Wes Bland","Meta","0","1"
"Edgar Gabriel","AMD","1","1"
"Shinji Sumimoto","The University of Tokyo","0","1"
"Tim Niklas Uhl","Karlsruhe Institute of Technology (KIT)","1","1"
"Thomas Naughton","Oak Ridge National Laboratory","1","1"
"Simon Pickartz","ParTec","1","1"
"David Boehme","Lawrence Livermore National Laboratory","0","1"
"Hugo Taboada","CEA","0","1"
"Joseph Schuchart","Stony Brook University","0","1"
"Amit Ruhela","The Texas Advanced Computing Center","0","1"
"brian smith","Oak Ridge National Laboratory","0","1"
"Matthew Whitlock","Sandia National Laboratory","0","1"
"George Bosilca","NVIDIA","1","1"
"Maxim Moraru","Los Alamos National Laboratory","1","1"
"Derek Schafer","University of New Mexico","1","1"
"Pepper Marts","HPE","1","1"
"Vivek Kale","Sandia National Laboratory","1","1"
