"issue_number","pr_number","topic","type","yes","no","abstain","missed"
"654","978","a standalone MPI_F08 is painful without an ABI","no-no","26","0","3","0"
"850","973","Need to add text in description of MPI_Session_init that it is a local operation","no-no","27","0","2","0"
"809","","Memory Allocation Kinds side document","no-no","28","0","1","0"
"814","968","Always set the MPI_ERROR field in status objects","no-no","28","0","1","0"
"654","978","a standalone MPI_F08 is painful without an ABI","1st","0","0","0","0"
"751","977","MPI needs a standard ABI","1st","0","0","0","0"
"850","973","Need to add text in description of MPI_Session_init that it is a local operation","1st","0","0","0","0"
"814","968","Always set the MPI_ERROR field in status objects","1st","0","0","0","0"
"819","960","Example for Fortran 2008 Wrapper is not in Example environment","1st","0","0","0","0"
"838","964","Text for `MPI_GET_HW_RESOURCE_INFO` needs clarification ","2nd","0","0","0","0"
"823","955","Make examples in `MPI_COMM_SPLIT_TYPE` consistent with `MPI_GET_HW_RESOURCE_INFO`","2nd","0","0","0","0"
"824","957","`MPI_GET_HW_RESOURCE_INFO` needs an example","2nd","0","0","0","0"
"809","","Memory Allocation Kinds side document","2nd","0","0","0","0"
