"org","#519 (PR #799): Add functions to check multiple request statuses at once (no-no)","#640 (PR #749): RMA accumulate operations don't distinguish between throughput and latency sensitive applications (no-no)","#23 (PR #708): Allow MPI_WIN_SHARED_QUERY on created and allocated windows (no-no)","#580 (PR #714): Memory Allocation Kind Info (no-no)","#520 (PR #798): Add compound datatypes for large integers for MPI_(MIN|MAX)LOC (no-no)","#658 (PR #776): MPI_MAX_STRINGTAG_LEN and MPI_MAX_PSET_NAME_LEN arent listed as compile-time constants (errata)","#680 (PR #801): missing MPI_Scan_init and MPI_Exscan_init from a sentence on collective taxonomy for inter-communicators (errata)","#681 (PR #818): Description of MPI_TESTANY is inconsistent and wrong (errata)","#341 (PR #806): fixes for most issues in collective chapter from MPI4.0-RC (1st)","#283 (PR #166): Remove error handler procedure (1st)","#120 (PR #98): MPI_Cart_create_weighted / Topology aware Cartesian communicators (1st)","#683 (PR #810): Question, MPI_Dims_create - is as close to each other as possible a requirement? (1st)","#457 (PR #804): Improvements around the word rank in the Process Topologies chapter (1st)","#485 (PR #803): Fix Incorrect Usage of Rank/Task/etc. in Language Bindings Chapter (1st)","#669 (PR #788): Add operation state enabled and local calls into Terms (1st)","#586 (PR #736): MPI_Buffer_attach and Sessions (1st)","#685 (PR #808): Add Iflush procedures to new buffered mode send buffer handling (1st)","#563 (PR #780): Clean up the short descriptions of the chapters in the introduction (1st)","#639 (PR #750): MPI_WAIT is nonlocal, except when it isn't (1st)","#478 (PR #688): Fix Incorrect Usage of Rank/Task/etc. in Process Management Chapter (1st)","#562 (PR #694): Introduce the concept of side documents (1st)","#640 (PR #749): RMA accumulate operations don't distinguish between throughput and latency sensitive applications (1st)","#580 (PR #714): Memory Allocation Kind Info (1st)","#520 (PR #798): Add compound datatypes for large integers for MPI_(MIN|MAX)LOC (1st)","#519 (PR #799): Add functions to check multiple request statuses at once (1st)","#645 (PR #767): API to access and update MPI_Status public fields (2nd)","#57 (PR #790): deprecating MPI_HOST (2nd)","#588 (PR #644): Clarification of errhandler fallback with Sessions (2nd)","#543 (PR #791): Pending operation in MPI_Comm_free is not defined (2nd)","#480 (PR #738): Fix Incorrect Usage of Rank/Task/etc. in External Interfaces Chapter (2nd)","#411 (PR #739): Fix comment on Info object in incomplete functions (2nd)","#154 (PR #762): New interface to query hardware resource info (2nd)","#518 (PR #623): Deprecate all _x procedures (2nd)","#555 (PR #671): Example 12.4: RMA communication calls may not block in PSCW (2nd)","#653 (PR #769): RMA communication procedures should have local semantics (2nd)","#652 (PR #768): RMA: Examples 12.4 and 12.5 contain advice to implementors (2nd)","#23 (PR #708): Allow MPI_WIN_SHARED_QUERY on created and allocated windows (2nd)"
"ParaTools SAS","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"EPCC, The University of Edinburgh","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"CEA","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Lawrence Livermore National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"RWTH Aachen University","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"HLRS, University of Stuttgart","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Intel Corporation","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"VSC Research Center, TU Wien","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Oak Ridge National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Technical University of Munich","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"University of New Mexico","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"AMD","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Leibniz Supercomputing Centre","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Atos","Yes","Abstain","Abstain","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain"
"Argonne National Laboratory","Yes","Yes","Yes","Yes","Abstain","Yes","Yes","Yes","Yes","Yes","Abstain","Yes","Yes","Yes","Abstain","No","No","Yes","Abstain","Yes","Yes","Yes","Yes","Yes","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Yes","Yes","Yes","Yes","Yes"
"HPE","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Kichakato Kizito","Yes","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Cornelis Networks","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain"
"University of Tennessee, Chattanooga","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Abstain","Yes","Yes","Yes","Yes","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Yes","Yes","Abstain"
"Los Alamos National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Amazon","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Université Grenoble Alpes","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain"
