"name","org","attend"
"Wesley Bland","Intel Corporation","1"
"Pavan Balaji","Argonne National Laboratory","-1"
"Jeff Squyres","Cisco","1"
"Joseph Schuchart","HLRS, University of Stuttgart","1"
"Benson Muite","Kichakato Kizito","1"
"Jean-Baptiste Besnard","ParaTools SAS","1"
"William Gropp","University of Illinois Urbana-Champaign","1"
"Brandon Cook","Lawrence Berkeley National Laboratory","1"
"Marc-André Hermanns","RWTH Aachen University","1"
"Amit Ruhela","The Texas Advanced Computing Center","1"
"Jim Dinan","NVIDIA","1"
"Ahmed Eleliemy","University of Basel","1"
"Hubert Ritzdorf","NEC Corporation","1"
"Guillaume Papauré","Atos","1"
"Julien Jaeger","CEA","1"
"Claudia Blaas-Schenner","VSC Research Center, TU Wien","1"
"George Bosilca","University of Tennessee, Knoxville","0"
"Artem Polyakov","NVIDIA","1"
"Vivek Kale","Brookhaven National Laboratory","-1"
"Thomas Naughton","Oak Ridge National Laboratory","1"
"Kenneth Raffenetti","Argonne National Laboratory","1"
"Michael Knobloch","Forschungszentrum Julich","1"
"Martin Schulz","Technical University of Munich","1"
"Anthony Skjellum","University of Tennessee, Chattanooga","0"
"Hugo Taboada","CEA","0"
"Joshua Hursey","IBM","1"
"Howard Pritchard","Los Alamos National Laboratory","1"
"Matthew Dosanjh","Sandia National Laboratory","1"
"Purushotham Bangalore","University of Alabama at Birmingham","1"
"Guillaume Mercier","INRIA","1"
"Ignacio Laguna","Lawrence Livermore National Laboratory","1"
"Ryan Grant","Sandia National Laboratory","1"
"Brian Smith","Oak Ridge National Laboratory","1"
"Shinji Sumimoto","Fujitsu","1"
"Dan Holmes","EPCC, The University of Edinburgh","1"
"Atsushi Hori","RIKEN","-1"
"Thomas Hines","Tennessee Technological University","1"
"Derek Schafer","University of Tennessee, Chattanooga","1"
"Nick Radcliffe","HPE","0"
"Ali Mohammed","University of Basel","1"
"Rolf Rabenseifner","HLRS, University of Stuttgart","1"
"Christoph Niethammer","HLRS, University of Stuttgart","1"
"Whit Schonbein","Sandia National Laboratory","1"
"Rich Graham","NVIDIA","1"
"Jim Dinan","NVIDIA","1"
"Torsten Hoefler","ETH Zurich","1"
"Michael Steyer","Intel Corporation","1"
"Bengisu Elis","Technical University of Munich","1"
"Victor Eijkhout","The Texas Advanced Computing Center","1"
"Aurelien Bouteiller","University of Tennessee, Knoxville","1"
"William Pepper Marts","University of New Mexico","1"
"Keita Teranishi","Sandia National Laboratory","1"
