"name","org","attend"
"Wesley Bland","Intel Corporation","1"
"Marc-André Hermanns","RWTH Aachen University","1"
"Joseph Schuchart","University of Tennessee, Knoxville","1"
"Kenneth Raffenetti","Argonne National Laboratory","1"
"Brian Smith","Oak Ridge National Laboratory","1"
"Michael Klemm","AMD","1"
"Bill Williams","ZIH, TU Dresden","1"
"Jeff Squyres","Cisco","1"
"William Gropp","University of Illinois Urbana-Champaign","1"
"Ignacio Laguna","Lawrence Livermore National Laboratory","1"
"Ryan Grant","Sandia National Laboratory","1"
"Nicholas Radcliffe","HPE","1"
"Christoph Niethammer","HLRS, University of Stuttgart","1"
"Rolf Rabenseifner","HLRS, University of Stuttgart","1"
"Brandon Cook","Lawrence Berkeley National Laboratory","1"
"Dan Holmes","Collis-Holmes Innovations Limited","1"
"Joshua Hursey","IBM","1"
"Purushotham V. Bangalore","University of Alabama at Birmingham","1"
"Ahmed Eleliemy","University of Basel","1"
"James Dinan","NVIDIA","1"
"Hessam Mirsadeghi","NVIDIA","-1"
"Julien Jaeger","CEA","1"
"Jean-Baptiste Besnard","ParaTools SAS","1"
"Thomas Naughton","Oak Ridge National Laboratory","1"
"Martin Ruefenacht","Leibniz Supercomputing Centre","1"
"Benson Muite","Kichakato Kizito","1"
"Guillaume Mercier","INRIA","1"
"Martin Schulz","Technical University of Munich","1"
"Michael Knobloch","Forschungszentrum Julich","1"
"Howard Pritchard","Los Alamos National Laboratory","1"
"Shinji Sumimoto","Fujitsu","1"
"Amit Ruhela","The Texas Advanced Computing Center","1"
"Ali Omar Abdelazim Mohammed","HPE","-1"
"Nat Shineman","Ohio State University","1"
"Hugo Taboada","CEA","-1"
"W. Pepper Marts","University of New Mexico","1"
"Matthew Dosanjh","Sandia National Laboratory","1"
"Donald Kruse","Sandia National Laboratory","-1"
"Joe Downs","Self (Non-voting participant)","1"
"Guillaume Papauré","Atos","1"
"Anthony Skjellum","University of Tennessee, Chattanooga","1"
"Aurelien Bouteiller","University of Tennessee, Knoxville","1"
"Daniel Taylor","EPCC, The University of Edinburgh","1"
"Oliver Thomson Brown","EPCC, The University of Edinburgh","1"
"Yanfei Guo","Argonne National Laboratory","-1"
"Claudia Blaas-Schenner","VSC Research Center, TU Wien","1"
"Charles Archer","Cornelis Networks","1"
"Isaias Alberto Compres Urena","Technical University of Munich","1"
"Jeff Hammond","NVIDIA","1"
"Victor Eijkhout","The Texas Advanced Computing Center","1"
"Guillaume Mercier","INRIA","1"
"Thomas Hines","Tennessee Tech University","1"
"Keita Teranushi","Sandia National Laboratory","1"
