"name","org","remote","attend"
"Wes Bland","Meta","0","1"
"Joseph Schuchart","Stony Brook University","0","1"
"Rohit Zambre","NVIDIA","0","1"
"Shinji Sumimoto","The University of Tokyo","0","1"
"Naveen Ravichandrasekaran","HPE","0","1"
"Maria Garzaran","Intel Corporation","0","1"
"William Gropp","University of Illinois Urbana-Champaign","0","1"
"Martin Schulz","Technical University of Munich","0","1"
"Jeff Hammond","NVIDIA","0","1"
"Sonja Happ","ParTec","0","1"
"Christoph Niethammer","HLRS, University of Stuttgart","0","1"
"Edgar Gabriel","AMD","0","1"
"Thomas Naughton","Oak Ridge National Laboratory","0","1"
"Ignacio Laguna","Lawrence Livermore National Laboratory","0","1"
"Tobias Haas","HLRS, University of Stuttgart","0","1"
"Benson Muite","Kichakato Kizito","0","1"
"Howard Pritchard","Los Alamos National Laboratory","0","1"
